N°,Question_Litterale,Propo 1,Propo 2,Propo 3,Propo 4,Bonne_Reponse,Rep_donnee,Niveau,N° famille,Nom famille,Commentaire,Ecran
20491,"-MONTAGE TRANSFO, 300V AU PRIMAIRE, 2000 SPIRES AU PRIMAIRE, 150 SPIRES AU SECONDAIRE, AVEC UNE DIODE PUIS UN CONDENSATEUR. TENSION AUX BORNES DU CONDENSATEUR ?",25 V,"22,5 V",35 V,"31,8 V",4,,2,203,"Diodes et transistors, classes d'amplification","Tension à la sortie du transfo : Us = Ue x (Ns / Np) = 
300 x (150 / 2000) = 22,5 V. Le condensateur a pour effet de transformer la tension efficace en tension maximum : 22,5 x 1,414 = 31,8 V sans tenir compte de la chute de tension provoquée par la diode qu’on a ici négligé par simplification. En effet, on n'aura jamais plus que la tension anode moins la tension de seuil sur la cathode de la diode. Au final, la tension Us sera d’environ 31,1 volts si la diode est au silicium mais cette réponse n’est pas proposée.",20491
20492,"ON PLACE 40 CONDENSATEURS DE 120 NF EN SERIE, 
VALEUR EQUIVALENTE ? ",30 nF,3 nF,"4,8 µF",48 µF,2,,2,208,Condensateurs et bobines (séparés),CT = C / n = 120 / 40 = 3 nF,
20493,"PRODUIT D'ORDRE 3 AVEC 
F1 = 100 MHZ ET F2 = 150 MHZ ",100 MHz,150 MHz,400 MHz,1000 MHz,3,,2,205,"Rôle des différents étages RF, haut-parleur, micro","Un produit du 3ème ordre (ou d’ordre 3) est un mélange du type (2 x A) + B ou (2 x A) – B. 
Dans les réponses proposées, la seule combinaison possible est 400 MHz, soit (2 x 150) + 100. 
F1 et F2 (100 et 150 MHz) ne sont pas, par définition, des produits du 3ème ordre",
20494,UN MELANGEUR ,additionne et soustrait les fréquences ,est un amplificateur linéaire,multiplie les fréquences,additionne les tensions présentes à son entrée,1,,2,205,"Rôle des différents étages RF, haut-parleur, micro","Un mélangeur est, par nature, un étage non linéaire qui additionne et soustrait des fréquences par battement, il peut sortir des harmoniques de Fourrier quelquefois (2 et 3)",
20495,"-MONTAGE AMPLI OP AVEC R1 = 4,7 KO ET R2 = 1 KO ; ""VALEUR DU GAIN ? ""","- 4,7","+ 4,7",infini,indéterminé,1,,2,209,"Transformateurs, ampli op, filtres RC LC RLC","G = - R2 / R1 = -4,7 / 1 = -4,7",20495
20496,"UCRETE = 48 V, 
VALEUR DE UEFF ?",24 V,68 V,17 V,34 V,4,,2,207,Courants alternatifs,"Ueff = Ucrête x 0,707 = 34 V (33,936 arrondi)",
20497,PERIODE D'UNE FREQUENCE DE 25 MHZ ?,400 ns,"0,4 ms",40 ns,25 µs,3,,2,207,Courants alternatifs,"t = 1/ F ou t(µs) = 1 / F(MHz) = 1 / 2,5 = 0,04 µs = 40 ns",
20498,"UN CONDENSATEUR A UNE VALEUR DE 200 PF. 
QUE FAUT-IL POUR QU'IL OBTIENNE UNE VALEUR DE 40 PF ? ",240 pF,40 pF,50 pF,160 pF,3,,2,208,Condensateurs et bobines (séparés),"Il faut ajouter un condensateur en série puisque la valeur est plus faible que la valeur d’origine. 
Le seul condensateur qui donne le bon résultat (il ne peut y en avoir qu'un !) est le condensateur de 50 pF : CT = (C1 x C2) / (C1 + C2) = (200 x 50) / (200 + 50) = 10000 / 250 = 40 ",
20499,"QUELLE EST LA VALEUR EQUIVALENTE DE 4 CONDENSATEURS DE 1,5 NANOFARAD EN SERIE ? ","37,5 pF",6 nF,375 pF,"0,006 µF",3,,2,208,Condensateurs et bobines (séparés),"CT = C / n = 1,5 / 4 = 0,375 nF = 375 pF",
20500,QUELLE EST LA VALEUR EQUIVALENTE DE 4 CONDENSATEURS DE 15 NANOFARADS EN SERIE ? ,"37,5 nF",60 nF,"3,75 nF","0,6 µF",3,,2,208,Condensateurs et bobines (séparés),"CT = C / n = 15 / 4 = 3,75 nF",
20501,"QUELLE EST LA FREQUENCE ISSUE D'UN MELANGE DU 3EME ORDRE AVEC 
F1 = 145 MHZ ET F2 = 160 MHZ. ",145 MHz,130 MHz,190 MHz,230 MHz,2,,2,205,"Rôle des différents étages RF, haut-parleur, micro","Soient deux fréquences, A et B, les produits d’intermodulation d’ordre 3 prennent la forme 2A+B ou 2A-3 ou A+2B ou A-2B ou 3A ou 3B. 
La seule combinaison possible avec les deux fréquences données est 130 (=(2 x145) – 160)",
20502,QUELLE EST LA PARTICULARITE D'UN BALUN 1:1,Filtre de bande,Transformateur d’impédance ,Transformateur asymétrique / symétrique ,Isolateur de ROS,3,,2,210,"Antennes, couplage, propagation, ligne de transmis","Le mot «  Balun » vient de « BALanced / UNbalanced » qui, en anglais, signifie « symétrique / asymétrique ». Lorsque le rapport de transformation est 1:1, cela signifie qu'il n'y a pas de transformation d'impédance (impédances identiques)",
20503,"-CIRCUIT RLC AVEC FREQUENCE DE RESONNANCE 
(15000 HZ) ET BP (370 HZ) DONNEES. CALCULER Q DU CIRCUIT
",impossible à calculer,"24,7",5000,"40,5",4,,2,209,"Transformateurs, ampli op, filtres RC LC RLC","BP = F/Q donc Q = F/BP = 15000 / 370 = 40,54 (arrondi à 40,5)",20503
20504,"-PARMI LES FORMULES SUIVANTES QUELLES SONT LES VRAIES? 
A)I=R.U2  B)W=R.I2T  C)I=P/R  D)Q=C.U
","formules b et d


","formules a, b et d",formules c et d,formules a et c,1,,2,206,Électricité de base,"Les formules exactes sont b et d. 
Les autres formules sont : a) I = U / R et c) I = racine (P/R)",20504
20505,"-COMMENT S'APPELLE L'ETAGE MARQUE "" ? ""
MICRO> ?>MOD AM>FI>MEL+OSC>AMP RF>ANT
",ampli RF,ampli AF ,détecteur,filtre réjecteur,2,,2,204,Synoptiques d'émetteurs et de récepteurs,,20505
20506,"-SYNOPTIQUE : 
ANT.-->AMP.RF-->MEL+OSC-->FI-->MEL+OSC-->FI2-->DETECT.PROD-->AF-->HP
DE QUEL TYPE DE MONTAGE S'AGIT-IL?
","récepteur FM
",démodulateur d’amplitude,récepteur à double changement de fréquence,récepteur à double boucle de verrouillage,3,,2,204,Synoptiques d'émetteurs et de récepteurs,Un détecteur de produit (et son BFO non représenté ici) permet de démoduler de la BLU ou de la CW,20506
20507,"-CALCULER LE TAUX DE SELECTIVITE 
(FIGURE FOURNIE BANDE PASSANTE A -3DB ET -60DB:  1770;1824;1836;1890)",120 %,12 %,10 %,5 %,3,,2,209,"Transformateurs, ampli op, filtres RC LC RLC","bande passante à -3 dB = 1836-1824 = 12 ; 
bande passante à -60 dB = 1890 – 1770 = 120. 
Taux de sélectivité = 12 / 120 = 0,10 = 10%",20507
20508,"-CALCULER LA CAPACITE EQUIVALENTE 
(MONTAGE 500 NF EN SERIE AVEC DEUX CAPACITES EN PARALLELE (90NF ET 35NF))? 
",125 nF,525 nF,100 nF,625 nF,3,,2,208,Condensateurs et bobines (séparés),"C en // = 90 + 35 = 125 ; 
en série : (500 x 125) / (500 + 125) = 100 nF",20508
20509,"-CALCULEZ LE TAUX DE DISTORSION HARMONIQUE 
(FOURNI PAR UN TABLEAU : P=F(F)=> 20=F(0,5); 8=F(1); 4=F(1,5); 2=F(2)",20 %,40 %,45 %,70 %,3,,2,205,"Rôle des différents étages RF, haut-parleur, micro","Sans précision de l’harmonique mesurée (ici, ce pourra être 2, 3 ou 4), on mesure le taux de distorsion harmonique total égal au rapport entre le signal parasite total divisé par le signal d’origine. 
Le signal parasite total se calcule ainsi : racine carrée de la somme des carrés des tensions des signaux parasites. 
Ici, le signal parasite aura pour valeur : racine (8² + 4² + 2²) = racine (84) = 9 (9,165 arrondi). 
TDH = 9/20 = 0,45 = 45%",20509
20510,"-SCHEMA BIZARRE D'UN AMPLI OP MONTE EN NON INVERSEUR CAR, DANS LES REPONSES PROPOSEES, IL N'Y AVAIT PAS -R2/R1 MAIS SEULEMENT R2/R1 + 1.","+ 1,333",+ 4,+ 2,"+ 0,667",1,,2,209,"Transformateurs, ampli op, filtres RC LC RLC","Réponse : 
R2 = résistance de contre-réaction (reliant la sortie à l'entrée inverseuse)
R1 = résistance d'entrée du circuit de contre-réaction (reliée à la tension de référence ou à la masse)
G = (R2 / R1) + 1 = (2,5/7,5) +1 
= 0,333 + 1 = +1,333
Le schéma proposé dans cette question n’est pas classique et fonctionne en non-inverseur",20510
20511,"SIGNAL TENSION CRETE = 14 V ; 
TENSION EFFICACE ?",5 V,20 V,10 V,7 V,3,,2,207,Courants alternatifs,"Veff = 0,707 x Vcrête = 0,707 x 14 = 10 V (valeur arrondie)",
20512,"-PUISSANCE DISSIPEE DANS LA CHARGE DE 27 KOHMS ET PARCOURUE PAR UN COURANT DE 10 MA 
",27 W,"7,29 W",270 W,"2,7 W",4,,2,206,Électricité de base,"P = R x I² = 27000 x 0,01 x 0,01 = 2,7 W",20512
20513,"QUE REPRESENTE CE CIRCUIT ?
MODULATEUR AF - OSCILLATEUR - AMPLI RF
",Emetteur FM,Emetteur AM,Récepteur superhétérodyne,Récepteur Modulation de Phase,2,,2,204,Synoptiques d'émetteurs et de récepteurs,"Le mot « modulateur » ne peut s’appliquer qu’à un émetteur. Sans autre qualificatif sur l’oscillateur, le choix se porte sur « émetteur AM ». Si l’oscillateur était qualifié « à réactance », la réponse aurait été « émetteur FM »",
20514,"-DESSIN D'UNE RESISTANCE AVEC 4 BAGUES : VIOLET, ORANGE, MARRON, OR
VALEUR DE LA RESISTANCE ?
",37 Ω,73 Ω,760 Ω,730 Ω,4,,2,201,Code des couleurs des résistances,Violet = 7 ; Orange = 3 ; Marron = 1 ; donc 73 x 10^1 = 730 Ω,20514
20515,TENSION EFFICACE D'UNE TENSION CRETE DE 48 VOLTS ?,17 V,70 V,34 V,96 V,3,,2,207,Courants alternatifs,"48 Vmax x 0,707 = 34 Veff (valeur arrondie)",
20516,"-ROLE DE L'ETAGE REPERE PAR ?
MODULATEUR AF - OSCILLATEUR - ?
",Amplificateur RF,Détecteur,Compresseur,Silencieux,1,,2,204,Synoptiques d'émetteurs et de récepteurs,"Il s’agit d’une partie du synoptique d’un émetteur (le terme « modulateur » ne peut s’appliquer qu’à un émetteur). Le schéma n'est pas complet : il manque, après l’étage RF, le filtre anti-harmonique et l’antenne",20516
20517,"-QUELLES SONT LES FORMULES EXACTES ? 
     FORMULE 1 : U^2 = P X R
     FORMULE 2 : Q = I / T
     FORMULE 3 : P = U^2 / R
     FORMULE 4 : R = P X I^2
",1 et 3,"1, 2 et 3",3 et 4,1 et 4,1,,2,206,Électricité de base,"Les formules exactes sont : 
formule 2 : Q = I x t
formule 4 : R = P / I²",20517
20519,"-FILTRE RC PASSE BAS AVEC R = 1,6 KOHMS ET C = 10 PF
QUELLE EST LA FREQUENCE DE COUPURE ?
",100 MHz,"1,6 MHz",1 MHz,10 MHz,4,,2,209,"Transformateurs, ampli op, filtres RC LC RLC","F(Hz) = 159 / R(kohms) / C(µF) = 159 / 1,6 / 0,000 01 = 9 937 500 
arrondi à 10 000 000 Hz = 10 MHz",20519
20520,"-SCHEMA AVEC RESISTANCE ET GALVA (MARQUE PAR UNE FLECHE OBLIQUE) EN SERIE
QUE MESURE-T-ON ?
",Intensité,Tension,Puissance,Résistance,1,,2,206,Électricité de base,"L’appareil de mesure représenté par le rectangle avec la flèche est un ampèremètre (en série avec la résistance). 
En connaissant la valeur de la résistance ou la tension à ses bornes, on pourrait en conclure la puissance (avec une échelle de lecture adaptée) : c'est le principe du wattmètre.",20520
20521,QUELLE EST LA FORMULE EXACTE ?,P = W / t,W = R I t ,I = R / U,P = R / I²,1,,2,206,Électricité de base,"Les formules exactes sont : W = RI²t ; I = U/R et P = RI²
Attention au piège : dans la formule P = W / t, W représente le travail (Work en anglais) et non pas la puissance en Watt exprimée par le P",
20522,"-DEUX RESISTANCES EN PARALLELE : 12 KOHMS ET 36 KOHMS
RESISTANCE EQUIVALENTE ?
",7 kΩ,48 kΩ,9 kΩ,15 kΩ,3,,2,202,Groupements de résistances,produit / somme = (12 x 36) / (12 + 36) = 9 kΩ,20522
20523,"-PUISSANCE DISSIPEE DANS LA CHARGE DE 33 KOHMS ET PARCOURUE PAR UN COURANT DE 5 MA 
",165 mW,825 mW,"6,6 W","8,25 W",2,,2,206,Électricité de base,"P = R x I² = 33000 x 0,005 x 0,005 = 0,825 W = 825 mW",20523
20524,-TAUX DE SELECTIVITE AVEC : 1890-1770 ET 1836-1824,5%,10%,20%,50%,2,,2,209,"Transformateurs, ampli op, filtres RC LC RLC","Taux de sélectivité = 10% : (1836-1824)/(1890-1770) = 12 / 120 = 10%
",20524
20525,"-RF ----DETECTEUR D'ENVELOPPE----- BF 
QUELLE EST LA MODULATION ?
",Modulation de fréquence,Modulation d'amplitude,Bande latérale unique,Impossible à déterminer,2,,2,204,Synoptiques d'émetteurs et de récepteurs,détecteur d’enveloppe = modulation d’amplitude (récepteur),20525
20526,"-DESSIN D'UNE RESISTANCE AVEC 4 BAGUES (AVEC 1 BAGUE DE TOLERANCE) POUR OBTENIR 1 MOHM
",100 MΩ,1 kΩ,105 Ω,1 MΩ,4,,2,201,Code des couleurs des résistances,Marron = 1 ; Noir = 0 ; Vert = 5 ; donc 10 x 10^5 = 10 00000 Ω = 1 MΩ,20526
20527,"-DESSIN D'UNE RESISTANCE AVEC 4 BAGUES (AVEC 1 BAGUE DE TOLERANCE) POUR OBTENIR  530 OHMS
",730 Ω,531 Ω,530 Ω,"5,3 kΩ",3,,2,201,Code des couleurs des résistances,Vert = 5 ; Orange =3 ; Marron = 1 ; donc 53 x 10^1 = 53 x 10 = 530 Ω,20527
20528,IMPEDANCE D'UNE LIGNE 1/4 D'ONDE AVEC 25 OHMS EN ENTREE ET 100 OHMS EN SORTIE ? ,50 Ω,75 Ω,2500 Ω,36 Ω,1,,2,210,"Antennes, couplage, propagation, ligne de transmis",Zcâble = racine (Ze x Zs) = racine (25 x 100) = racine (2500) = 50 Ω,
20529,ROS AVEC UNE PUISSANCE EMISE DE 9 W ET UNE PUISSANCE REFLECHIE DE 1 W ?,3/1,9/1,2/1,infini,3,,2,210,"Antennes, couplage, propagation, ligne de transmis","taux de puissance réfléchie = 1/9 donc taux d'ondes stationnaires = racine (1/9) = 0,3333. 
ROS = (1 + TOS) / (1-TOS) = 1,333 / 0,6666 = 2/1
",
20530,-CALCUL DE LA BOBINE EQUIVALENTE D'UN GROUPEMENT PARALLELE DE 2 BOBINES (6 ET 13 MICROHENRYS) EN SERIE AVEC UNE 3EME (3 MICROHENRYS).,"4,1 µH",22 µH,"2,6 µH","7,1µH",4,,2,208,Condensateurs et bobines (séparés),"En partant du principe que les bobines ne sont pas couplées, 2 bobines en parallèle : (6 x 13) / (6 + 13) = 4,1 ; en série avec 3 µH = 3 + 4,1 = 7,1 µH",20530
20531,CALCUL DE LA FREQUENCE DE RESONANCE D'UN FILTRE BOUCHON COMPOSE D'UN CONDENSATEUR DE 40 PICOFARADS ET D'UNE BOBINE DE 10 MICROHENRYS,80 MHz,80 kHz,8 MHz,16 MHz,3,,2,209,"Transformateurs, ampli op, filtres RC LC RLC","F = 1/[2pi x racine (L x C)] = 8 MHz (arrondi en prenant 1/(2 pi) = 0,16)
Formule simplifiée : F(MHz) = 160 / racine (L(µH) x C(pF) = 160 /racine (10 x 40) = 160 / 20 = 8 MHz",
20532,"UN SIGNAL FM AVEC 4 KHZ DE BANDE PASSANTE PASSE DANS UN MULTIPLICATEUR PAR 2, 
QUELLE LARGEUR AURA LE SIGNAL EN SORTIE DU MULTIPLICATEUR ?",8 kHz,4 kHz,2 kHz,40 kHz,1,,2,205,"Rôle des différents étages RF, haut-parleur, micro",Un multiplicateur applique une fonction linéaire sur le signal d'entrée. La bande passante est donc multipliée comme la fréquence d'entrée (par 2 dans cette question),
20533,"-SYNOPTIQUE D'UN DEMODULATEUR AVEC UN DETECTEUR DE PRODUIT, QUEL TYPE DE MODULATION PEUT-ON RECEVOIR ?",Modulation de phase,F3E,Modulation à double bande,BLU,4,,2,204,Synoptiques d'émetteurs et de récepteurs,Détecteur de produit = démodulateur BLU (ou CW mais ne fait pas partie des réponses proposées),20533
20534,-SCHEMA D'AMPLIFICATEUR AVEC 40 W EN ENTREE ET 10 W EN SORTIE. QUEL EST LA GAIN (EN DB) ?,-4 dB,6 dB,4 dB,-6 dB,4,,2,205,"Rôle des différents étages RF, haut-parleur, micro","rapport de puissance = Ps / Pe = 10 / 40 = 1/4 correspondant à -6 dB. 
Attention au piège avec une puissance de sortie plus faible que la puissance d'entrée (atténuation)",20534
20535,"PERIODE D'UN SIGNAL AVEC LAMBDA = 2,5 CM ?",83 ps,"0,4 ms",400 ns,25 µs,1,,2,207,Courants alternatifs,"La lettre grecque lambda (λ) signfie ""longueur d'onde""
calcul de la fréquence : F(MHz) = 300 / lambda (m) = 300 / 0,025 = 12000 MHz (ou 12 x 10^9 Hz)
durée de la période : t(s) = 1 / F(Hz) = 1 / 12 x 10^9 = 8,33 x 10^-11 
= 83,3 x 10^-12 = 83 ps (picosecondes)",
20536,"-SCHEMA AVEC UN TRANSISTOR, UNE RESISTANCE DE 1,5 KOHMS SUR LA BASE ET 1 KOHM SUR LE COLLECTEUR. 
INDICATION : IC = 1,5 MA ET BETA = 150, DETERMINER IBASE 
",10 µA,15 mA,"1,5 mA",225 mA,1,,2,203,"Diodes et transistors, classes d'amplification","Ib = Ic / beta = 1,5 mA / 150 = 0,01 mA = 10 µA.
Les valeurs des résistances de collecteur et de base ne servent à rien
",20536
20537,"-OSCILLOGRAMME REPRESENTANT 2 PERIODES D'UN SIGNAL SINUS AVEC UN QUADRILLAGE DE 50 MICROSECONDES PAR ALTERNANCE
DETERMINER LA FREQUENCE DU SIGNAL",5 kHz,20 kHz,10 kHz,4 kHz,3,,2,207,Courants alternatifs,"il y a une alternance toutes les 50 µs. Donc une période toutes les 100 µs. 
F = 1 / T = 1 / 0,000 1 = 10 000 Hz = 10 kHz",20537
20538,"-OSCILLOGRAMME D'UN SIGNAL SINUS DE 15 KHZ REPRESENTANT 2 PERIODES ET DEMI
DETERMINER LA DUREE A L'ECRAN",6 ms,"66,6 µs",200 µs,"0,166 ms",4,,2,207,Courants alternatifs,"La période d’un signal de 15 kHz dure 66,6 µs (T = 1 / F = 1 / 15000 = 0,000 066 = 0,066 ms). 
La période d’observation dure 2,5 périodes. 
L’observation dure donc 0,066 ms x 2,5 = 0,166 ms",20538
20540,"-SCHEMA D'UN CIRCUIT BOUCHON AVEC L = 2 MICROHENRY ET C =50 PICOFARAD
FREQUENCE A LA RESONANCE ?
",160 MHz,160 kHz,16 MHz,"1,6 MHz",3,,2,209,"Transformateurs, ampli op, filtres RC LC RLC","Formule simplifiée : F = 159 / racine (L en µH x C en pF) = 159 / racine (100) = 159/10 = 15,9 arrondi à 16 MHz",20540
20541,"-DEUX CONDENSATEURS EN PARALLELE (1 MICROFARAD ET 0,5 MICROFARAD). CAPACITE EQUIVALENTE ?",1 µF,"0,33 µF",150 nF,"1,5 µF",4,,2,208,Condensateurs et bobines (séparés),"Ceq = C1+C2 = 1 + 0,5 = 1,5
pas besoin de sortir la calculette !",20541
20542,-CAPACITE EQUIVALENTE DE 2 CONDENSATEURS DE 20 ET 30 PICOFARAD EN //  ET EN SERIE AVEC UN DE 50 PICOFARAD ? ,25 nF,50 µF,50 nF,25 µF,1,,2,208,Condensateurs et bobines (séparés),"condensateurs en parallèle : CT =20 +30 = 50 ; 
CT en série (de valeur identique) : 50 / 2 = 25 nF",20542
20543,QUELLE EST LA PARTICULARITE DE LA FM PAR RAPPORT A LA BLU ? ,La puissance de sortie dépend de la fréquence BF,La puissance de sortie dépend du niveau BF,La puissance de sortie dépend de la largeur de la bande passante,La puissance de sortie est constante ,4,,2,205,"Rôle des différents étages RF, haut-parleur, micro",On parle ici des caractéristiques de la FM,
20544,DE QUOI DEPEND L'IMPEDANCE D'UN CABLE COAXIAL ? ,Longueur du câble et type d'isolant  ,Écartement entre les conducteurs ,Puissance transmise par le câble,Impédance de la source et de la charge,2,,2,210,"Antennes, couplage, propagation, ligne de transmis","La longueur du câble ne change pas l’impédance caractéristique du câble. En revanche, le matériau utilisé pour former le diélectrique a une incidence sur son impédance",
20545,"-CALCULEZ LE TAUX DE DISTORSION HARMONIQUE DE LA FREQUENCE 2
UN TABLEAU ETAIT FOURNI : 
U=F(F)
20=F(0,5)
8=F(1)
4=F(1,5)
2=F(2)",80%,40%,8%,10%,4,,2,203,"Diodes et transistors, classes d'amplification","TDH = 2/20 = 0,1 = 10%
La question portait sur la fréquence 2 et non pas sur l'harmonique 2 (soit 1 dans cet exemple puisque la fréquence de référence est 0,5)
",20545
20546,"-QUEL EST LE TAUX DE SELECTIVITE AVEC 3550, 3585, 3615 ET 3650",30%,35%,70%,15%,1,,2,209,"Transformateurs, ampli op, filtres RC LC RLC",Taux de sélectivité = bande passante à –3 dB / bande passante à –60 dB x 100 = (3615-35850)/(3650-3550)x100 = 30 / 100 x 100 = 30%,20546
20547,DISTORSION QUADRATIQUE AVEC 2 KHZ ET 100 KHZ ?,100 et 200 kHz,50 et 200 kHz,"2, 4, 98, 100, 102 et 200 kHz",104 et 202 kHz,3,,2,203,"Diodes et transistors, classes d'amplification","Une distortion quadratique est un mélange (en sortie) de 2 fréquences présentes à l'entrée d'un amplificateur non linéaire (soit 4 et 200, les harmonqiues 2, et aussi 98 et 102, les mélanges du second ordre). Bien sûr, à la sortie d'un tel amplificateur, on trouve aussi les fréquences présentes à son entrée (ici 2 et 100 kHz)",
20548,"-NOM DE L'ETAGE REPERE PAR ? , SYNOPTIQUE AVEC CAG, FI, DETECTION, ...",oscillateur,discriminateur,modulateur,premier amplificateur,1,,2,204,Synoptiques d'émetteurs et de récepteurs,"il s’agit d’un récepteur superhétérodyne pour recevoir de l’AM (étage de démodulation nommé « Dét » pour « Détection »).
",20548
20549,"-SCHEMA AVEC 3 RESISTANCES EN PARALLELE (10, 5 ET 10 KOHMS) SUIVIES D'UNE RESISTANCE EN SERIE DE 2,5 KOHMS . RESISTANCE EQUIVALENTE ?
","12,5 kΩ","27,5 kΩ",5 kΩ,2 kΩ,3,,2,202,Groupements de résistances,"résistances en // : 10 et 10 => 5 ; 5 et 5 => 2,5
en série : 2,5 + 2,5 = 5
Pas besoin de sortir la calculette !",20549
20550,"SOIT UN CABLE COAXIAL DE 10 METRES DE LONG ET DE 50 OHMS D'IMPEDANCE SUR LA FREQUENCE 14,100 MHZ. QUELLE EST SON IMPEDANCE POUR UNE LONGUEUR DE 20 METRES ?",25 ohms,100 ohms,50 ohms,cela dépend de l'impédance de la charge,3,,2,210,"Antennes, couplage, propagation, ligne de transmis",La longueur du câble ne change pas l’impédance caractéristique du câble.,
20551,SUR QUELLES COUCHES DE L'ATMOSPHERE SE REFLETENT LES ONDES DECAMETRIQUES ? ,les couches F1 et F2 ,les couches E et F,les couches D et F2,les couches D et E,1,,2,210,"Antennes, couplage, propagation, ligne de transmis","la couche F de la ionosphère se décompose en  F1 et F2 dans la journée. La réflexion sur la couche E ne concerne que les VHF. Quant à la couche D, elle ne réfléchit pas mais elle atténue les ondes qui la traversent.",
20552,"-QUEL EST LE RAPPORT DE PUISSANCE, SCHEMA AVEC UN AMPLIFICATEUR DE 12 DB SUIVI D'UN ELEMENT "" PERTE "" DE 2 DB",x 100,x 10,x 24,x 4,2,,2,209,"Transformateurs, ampli op, filtres RC LC RLC",gain de l’ensemble = 12 – 2 = 10 dB correspondant à un rapport de 10,20552
20553,A QUOI SERT LE SILENCIEUX ? ,réduire les brouillages,éviter la surmodulation en AM ou en BLU,déclencher la BF lorsque le seuil de réception RF dépasse le seuil du bruit de fond ,éviter d’occuper une fréquence trop longtemps,3,,2,205,"Rôle des différents étages RF, haut-parleur, micro",l’autre nom du silencieux est « squelch ». Le niveau de squelch définit la puissance du signal HF (généralement modulé en FM) au-dessus de laquelle l’amplificateur AF envoie un signal au haut-parleur,
20554,"-SYNOPTIQUE TRES COMPLEXE : LE SCHEMA PREND TOUTE LA PAGE AVEC ENVIRON 8 ELEMENTS DONT : MULTIPLICATEUR, VCXO, FILTRE PASSE BAS (A LA MANIERE D'UNE BOUCLE PLL ?). PAS D'ANTENNE NI DE HAUT-PARLEUR ! 
QUEL EST L'ELEMENT MANQUANT ?
",Filtre passe-bas,Discriminateur,Oscillateur de battement de fréquence,Détecteur de produit,1,,2,204,Synoptiques d'émetteurs et de récepteurs,le schéma reproduit ici (sans être certain que ce soit le schéma présenté à la candidate) est une partie d'un récepteur FM dont le discriminateur est constitué d'une boucle PLL,20554
20555,"-SYNOPTIQUE TRES COMPLEXE : LE SCHEMA PREND TOUTE LA PAGE AVEC ENVIRON 8 ELEMENTS DONT : MULTIPLICATEUR, VCXO, FILTRE PASSE BAS (A LA MANIERE D'UNE BOUCLE PLL ?). PAS D'ANTENNE NI DE HAUT-PARLEUR ! 
QUEL EST L'ELEMENT MANQUANT ?",Détecteur de produit,Discriminateur,Oscillateur de battement de fréquence,Multiplieur,4,,2,204,Synoptiques d'émetteurs et de récepteurs,"le schéma reproduit ici (sans être certain que ce soit le schéma présenté à la candidate) est une partie d'un récepteur FM dont le discriminateur est constitué d'une boucle PLL.
L'étage ""multiplieur"" est l'autre nom de l'étage ""comparateur"" utilisé dans les boucles PLL",20555
20556,"-TRANSFORMATEUR : 220 V EN ENTREE ; 0,8A ; 2000 SPIRES AU PRIMAIRE ; 200 SPIRES AU SECONDAIRE CONNECTE A UNE RESISTANCE DE VALEUR R. 
QUELLE EST LA VALEUR DE I DANS LA RESISTANCE
","0,8 A",8 A,80 A,"0,08 A",2,,2,209,"Transformateurs, ampli op, filtres RC LC RLC","Is = Ip / (Ns / Np) = 0,8 / (200 / 2000) = 0,8 / 0,1 = 8 A en supposant que le transformateur est parfait (rendement = 100%).
Réponse plus empirique : l'intensité est inversement proportionnelle au nombre de spires : il y a 10 fois moins de spire au secondaire, il y aura donc 10 fois plus d'intensité.
La tension au primaire ne sert à rien
",20556
20557,"-50 WATTS EN ENTREE, SYMBOLE D'UN AMPLIFICATEUR (TRIANGLE ISOCELE TOURNE VERS LA DROITE) INDIQUANT 3 DB. QUELLE EST LA PUISSANCE EN SORTIE ?",150 W,25 W,100 W,300 W,3,,2,209,"Transformateurs, ampli op, filtres RC LC RLC",3 dB correspond à un rapport de puissance de 2 ; 50 W x 2 = 100 W,20557
20558,"-VALEUR DU SHUNT ? GALVA : 0,4 MA ; RESISTANCE INTERNE 800 OHMS ; INTENSITE = 4 A","0,80 Ω","0,08 Ω",8 Ω,8 MΩ,2,,2,206,Électricité de base,"Réponse empirique (sans sortir sa calculette) : L'ampèremètre a un calibre de 4 A alors que le galvanomètre mesure au maximum une intensité de 0,4 mA. Il passera donc dans le shunt 10.000 fois moins d'intensité que dans le galvanomètre. La résistance du shunt devra donc être 10.000 fois moindre que la résistance du galvanomètre : Rshunt = 800 / 10000 = 0,08 ohm",20558
20560,"-COMMENT S'APPELLE L'ETAGE MARQUE  ""?""  
MODULATEUR - AMPLI HF - ?
",Filtre passe bande,Filtre passe bas,Fréquence Intermédiaire,Filtre bouchon,2,,2,204,Synoptiques d'émetteurs et de récepteurs,"Il s’agit d’une partie du synoptique d’un émetteur, la réponse ""filtre passe bande"" n'est pas suffisamment précise car c'est un filtre anti-harmonique (passe-bas) qui est nécessaire après l’amplificateur HF d’un émetteur.",20560
20561,QUE PERMET DE MODULER UN MONTAGE AVEC UN MELANGEUR EQUILIBRE ? ,de la bande latérale unique ,de la modulation de fréquence,de la modulation d’amplitude,de la modulation de phase,1,,2,205,"Rôle des différents étages RF, haut-parleur, micro","Plus précisément, le mélangeur équilibré permet de générer de la double bande latérale qui est ensuite filtrée grâce à un filtre à quartz pour donner de la BLU, une des deux bandes latérales qui contiennent la même information.",
